route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
B,28181405,"Grenoble, Oxford",12345-MGHLV10_ST0_10_HI2324,1,SEM_B_2,1,2
20,27743870,"Veurey-Voroize, La Rive",12345-MSILV00_ST21_0_HI2324,1,SEM_20_2,1,2
B,28232978,"Grenoble, Oxford",12345-MGHLV12_ST0_12_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_B_2,1,2
7,27973488,"Gières, Universités - IUT - UFRAPS",12345-MSILV00_ST21_0_HI2324,0,SEM_C7_1,1,2
6,27785252,"Saint-Martin-d'Hères, Henri Wallon",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,1,SEM_C6_1,1,2
A,28110139,"Fontaine, La Poya",12345-MEHLV03_ST8_3_HI2324,1,SEM_A_4,1,2
3,28030525,"Échirolles, Centre du graphisme",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,1,SEM_C3_2,1,2
4,27984630,"Eybens, Le Verderet",1234567-MEHS00_ST5_0_HI2324-MEHS03_ST5_3_HI2324-MEHS04_ST5_4_HI2324,0,SEM_C4_1,1,2
A,28250690,"Fontaine, La Poya",12345-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324,1,SEM_A_4,1,2
82,28251156,"Grenoble, Flandrin - Valmy",12345-MGHLV13_ST0_13_HI2324,0,,1,2
B,27955209,"Grenoble, Oxford",1234567-MGHD01_ST6_1_HI2324-MGHD02_ST6_2_HI2324,1,SEM_B_2,1,2
B,28181481,"Grenoble, Oxford",12345-MGHLV10_ST0_10_HI2324,1,SEM_B_2,1,2
7,28178438,"Échirolles, Colonel Manhès",1234567-MSHSAH06_ST5_6_HI2324,1,SEM_C7_2,1,2
E,28112001,"Grenoble, Louise Michel",12345-MGHLV12_ST0_12_HI2324,0,SEM_E_2,1,2
65,28019641,"Vizille, Le Péage",1234567-MFHS12_ST5_12_HI2324-MFHS14_ST5_14_HI2324,0,SEM_65_6,1,2
A,28031450,"Le Pont-de-Claix, L'Etoile",12345-MEHLV04_ST8_4_HI2324-MEHW04_ST11_4_HI2324,0,SEM_A_3,1,2
E,28110932,"Fontanil-Cornillon, Palluel",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324-MGHLV10_ST0_10_HI2324-MGHLV11_ST0_11_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_E_1,1,2
14,28008392,"Gières, Gières Gare - Universités",1234567-MAHS00_ST5_0_HI2324,1,SEM_14_2,1,2
2,27995075,"Grenoble, Louise Michel",12345-MEILV08_ST21_8_HI2324,1,SEM_C2_1,1,2
B,27946373,"Gières, Plaine des Sports",12345-MGHLV07_ST0_7_HI2324-MGHLV11_ST0_11_HI2324,0,SEM_B_1,1,2
D,28204628,"Saint-Martin-d'Hères, Les Taillées - Universités",12345-MGHLV11_ST0_11_HI2324-MGHLV12_ST0_12_HI2324,0,SEM_D_1,1,2
C,28070426,"Seyssins, Le Prisme",12345-MGHLV11_ST0_11_HI2324-MGHLV12_ST0_12_HI2324,1,SEM_C_2,1,2
21,28019979,"Claix, Pont Rouge",1234567-MFHD06_ST6_6_HI2324-MFHD07_ST6_7_HI2324-MFHD08_ST6_8_HI2324-MFHD09_ST6_9_HI2324,0,SEM_21_1,1,2
1,27772342,"Meylan, Maupertuis",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,0,SEM_C1_2,1,2
C,28182447,"Seyssins, Le Prisme",12345-MGHLV10_ST0_10_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_C_2,1,2
E,28171086,"Grenoble, Louise Michel",12345-MGHLV14_ST0_14_HI2324,0,SEM_E_2,1,2
25,28041094,"Le Gua, Les Saillants",12345-MAHLV00_ST0_0_HI2324,0,SEM_25_1,1,2
14,28009051,"Grenoble, Verdun - Préfecture",12345-MAHLV00_ST0_0_HI2324,0,SEM_14_5,1,2
19,28173542,"Sassenage, L'Ovalie",1234567-MSHDF04_ST6_4_HI2324-MSHDF05_ST6_5_HI2324-MSHDF07_ST6_7_HI2324,1,SEM_19_2,1,2
C,27953300,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGHS01_ST5_1_HI2324,0,SEM_C_1,1,2
13,27983452,"Poisat, Cimetière Intercommunal",1234567-MEHD00_ST6_0_HI2324-MEHD01_ST6_1_HI2324,0,SEM_13_5,1,2
A,28214667,"Le Pont-de-Claix, L'Etoile",1234567-MEHS03_ST5_3_HI2324,0,SEM_A_3,1,2
2,28125150,"Grenoble, Louise Michel",1234567-MEHS03_ST5_3_HI2324,1,SEM_C2_1,1,2
47,28019730,"Claix, Val d'Allières",1234567-MFHS12_ST5_12_HI2324-MFHS14_ST5_14_HI2324,0,SEM_47_1,1,2
3,28030558,"Grenoble, Victor Hugo",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_C3_1,1,2
B,28181297,"Gières, Plaine des Sports",12345-MGHLV10_ST0_10_HI2324,0,SEM_B_1,1,2
5,27973608,"Grenoble, Palais de Justice - Gare",12345-MSILV00_ST21_0_HI2324,0,SEM_C5_1,1,2
12,28086307,"Eybens, Maisons Neuves",12345-MEHLV03_ST8_3_HI2324-MEHLV04_ST8_4_HI2324-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324-MEHW04_ST11_4_HI2324,0,SEM_12_2,1,2
1,27788604,"Meylan, Maupertuis",1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,0,SEM_C1_2,1,2
A,28250715,"Le Pont-de-Claix, L'Etoile",12345-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324,0,SEM_A_3,1,2
A,27985571,"Fontaine, La Poya",1234567-MEHS00_ST5_0_HI2324-MEHS04_ST5_4_HI2324,1,SEM_A_4,1,2
4,27983838,"Eybens, Le Verderet",1234567-MEHD00_ST6_0_HI2324,0,SEM_C4_1,1,2
E,28112115,"Fontanil-Cornillon, Palluel",12345-MGHLV12_ST0_12_HI2324,1,SEM_E_1,1,2
A,28198281,"Fontaine, La Poya",1234567-MEHD01_ST6_1_HI2324,1,SEM_A_4,1,2
C,28105381,"Seyssins, Le Prisme",12345-MGHLV14_ST0_14_HI2324,1,SEM_C_2,1,2
B,28181576,"Gières, Plaine des Sports",12345-MGHLV10_ST0_10_HI2324,0,SEM_B_1,1,2
C,28182370,"Seyssins, Le Prisme",12345-MGHLV10_ST0_10_HI2324-MGHLV13_ST0_13_HI2324,1,SEM_C_2,1,2
65,28018218,"Vizille, Le Péage",12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,0,SEM_65_6,1,2
B,28128933,"Grenoble, Oxford",12345-MGHLV09_ST0_9_HI2324,1,SEM_B_2,1,2
1,28217959,"Grenoble, Cité Jean Macé",1234567-MSHSAH08_ST5_8_HI2324,1,SEM_C1_1,1,2
B,27955225,"Gières, Plaine des Sports",1234567-MGHD01_ST6_1_HI2324-MGHD02_ST6_2_HI2324,0,SEM_B_1,1,2
C,28232623,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV12_ST0_12_HI2324,0,SEM_C_1,1,2
D,27954442,"Saint-Martin-d'Hères, Les Taillées - Universités",1234567-MGHS01_ST5_1_HI2324-MGHS03_ST5_3_HI2324-MGHS04_ST5_4_HI2324,0,SEM_D_1,1,2
E,28171241,"Fontanil-Cornillon, Palluel",12345-MGHLV14_ST0_14_HI2324,1,SEM_E_1,1,2
14,28009089,"Gières, Gières Gare - Universités",12345-MAHLV00_ST0_0_HI2324,1,SEM_14_2,1,2
2,28211329,"Claix, Pont Rouge",1234567-MEHD01_ST6_1_HI2324,0,SEM_C2_2,1,2
A,27995775,"Le Pont-de-Claix, L'Etoile",12345-MEILV08_ST21_8_HI2324,0,SEM_A_3,1,2
2,28211374,"Grenoble, Louise Michel",1234567-MEHD01_ST6_1_HI2324,1,SEM_C2_1,1,2
A,28109881,"Le Pont-de-Claix, L'Etoile",12345-MEHLV03_ST8_3_HI2324,0,SEM_A_3,1,2
A,28214865,"Fontaine, La Poya",1234567-MEHS03_ST5_3_HI2324,1,SEM_A_4,1,2
A,28031498,"Fontaine, La Poya",12345-MEHLV04_ST8_4_HI2324-MEHW04_ST11_4_HI2324,1,SEM_A_4,1,2
25,28040270,"Grenoble, Colonel Dumont",1234567-MAHD01_ST6_1_HI2324,1,SEM_25_2,1,2
C,27946979,"Seyssins, Le Prisme",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324,1,SEM_C_2,1,2
83,28071295,"Seyssins, Seyssins Le Prisme",12345-MGHLV11_ST0_11_HI2324,1,,1,2
